epoch,train_loss,eval_loss,eval_top1,eval_top5,lr,Active layers,Total Training Time (s),Epoch Time (s),FLOPs,Layers,Spectral norm,Frobenius norm
35,1.637905364763111,0.7580718014717102,78.05,98.39,9.701111919237408e-05,34,3076.3614394664764,115.32910442352295,56094111744.0,884,8667.435546875,1018900.8125
36,1.615255806876511,0.7431913758277893,78.29,98.43,9.683994186497131e-05,34,3192.073810338974,115.2375738620758,58250806272.0,918,8666.8818359375,1018729.375
37,1.6185947722265266,0.7483908250808716,79.13,98.69,9.666417631644977e-05,34,3307.0755343437195,114.5324399471283,60407500800.0,952,8666.2294921875,1018542.0
38,1.6070446910076654,0.7103997566223145,79.87,98.75,9.648384182148252e-05,34,3421.70107793808,114.22307276725769,62564195328.0,986,8665.6806640625,1018367.625
39,1.614646237043046,0.7708189377784729,79.35,98.78,9.629895815577916e-05,34,3536.2952530384064,114.1811375617981,64720889856.0,1020,8665.138671875,1018197.125
40,1.603098316778752,0.7051035401344299,80.57,98.77,9.610954559391703e-05,34,3650.749908685684,114.04977440834045,66877584384.0,1054,8664.5390625,1018016.3125
41,1.6025916083063572,0.6871625980377197,80.92,98.91,9.59156249071181e-05,34,3765.229640483856,114.01187562942505,69034278912.0,1088,8663.9091796875,1017837.0
42,1.5893795578031016,0.7232782375335693,79.81,98.82,9.571721736097089e-05,34,3879.810511827469,114.18459272384644,71190973440.0,1122,8663.232421875,1017652.625
43,1.5816371758371859,0.681709819316864,80.52,98.85,9.551434471309872e-05,34,3994.4802947044373,114.27118730545044,73347667968.0,1156,8662.5712890625,1017476.125
44,1.5941541626114546,0.6667641812801361,81.31,98.62,9.530702921077358e-05,34,4109.041489124298,114.16404509544373,75504362496.0,1190,8661.841796875,1017283.8125
45,1.5847570666430397,0.7164689219474792,81.98,98.93,9.509529358847655e-05,34,4223.273765563965,113.83444285392761,77661057024.0,1224,8661.1162109375,1017088.75
46,1.5763781152369882,0.679909224319458,81.52,98.78,9.487916106540466e-05,34,4337.8754341602325,114.1351945400238,79817751552.0,1258,8660.3818359375,1016882.4375
47,1.5813763933816731,0.6684489987373352,82.11,98.86,9.465865534292465e-05,34,4452.349036693573,114.07584738731384,81974446080.0,1292,8659.5556640625,1016678.5625
